ID,MATCH CENTER,DATE,DAY,TIME (IST),STADIUM,CITY,STATE,find,a,b,venue_id,,
30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),07-May-21,Friday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Rajasthan Royals,1,,
31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),08-May-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Kings XI Punjab,16,,
32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),09-May-21,Sunday,3:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Kolkata Knight Riders,34,,
33,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),09-May-21,Sunday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Royal Challengers Bangalore,26,,
34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),10-May-21,Monday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Chennai Super Kings,1,,
35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),11-May-21,Tuesday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Kolkata Knight Riders,24,,
36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),12-May-21,Wednesday,7:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Kings XI Punjab,34,,
37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),13-May-21,Thursday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Rajasthan Royals,17,,
38,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),14-May-21,Friday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Delhi Capitals,23,,
39,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),15-May-21,Saturday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Royal Challengers Bangalore,9,,
